,Source,Sink,Time,Value
655,SCE,PGE_bay,32,0.0
656,SCE,PGE_bay,33,0.0
657,SCE,PGE_bay,34,0.0
658,SCE,PGE_bay,35,0.0
659,SCE,PGE_bay,36,0.0
660,SCE,PGE_bay,37,0.0
661,SCE,PGE_bay,38,0.0
662,SCE,PGE_bay,39,0.0
663,SCE,PGE_bay,40,0.0
664,SCE,PGE_bay,41,0.0
665,SCE,PGE_bay,42,0.0
666,SCE,PGE_bay,43,0.0
667,SCE,PGE_bay,44,0.0
668,SCE,PGE_bay,45,0.0
669,SCE,PGE_bay,46,0.0
670,SCE,PGE_bay,47,0.0
671,SCE,PGE_bay,48,0.0
672,SCE,PGE_valley,25,0.0
673,SCE,PGE_valley,26,0.0
674,SCE,PGE_valley,27,0.0
675,SCE,PGE_valley,28,0.0
676,SCE,PGE_valley,29,0.0
677,SCE,PGE_valley,30,0.0
678,SCE,PGE_valley,31,0.0
679,SCE,PGE_valley,32,0.0
680,SCE,PGE_valley,33,0.0
681,SCE,PGE_valley,34,0.0
682,SCE,PGE_valley,35,0.0
683,SCE,PGE_valley,36,0.0
684,SCE,PGE_valley,37,0.0
685,SCE,PGE_valley,38,0.0
686,SCE,PGE_valley,39,0.0
687,SCE,PGE_valley,40,0.0
688,SCE,PGE_valley,41,0.0
689,SCE,PGE_valley,42,0.0
690,SCE,PGE_valley,43,0.0
691,SCE,PGE_valley,44,0.0
692,SCE,PGE_valley,45,0.0
693,SCE,PGE_valley,46,0.0
694,SCE,PGE_valley,47,0.0
695,SCE,PGE_valley,48,0.0
696,SCE,PNW,25,0.0
697,SCE,PNW,26,0.0
698,SCE,PNW,27,0.0
699,SCE,PNW,28,0.0
700,SCE,PNW,29,0.0
701,SCE,PNW,30,0.0
702,SCE,PNW,31,0.0
703,SCE,PNW,32,0.0
704,SCE,PNW,33,0.0
705,SCE,PNW,34,0.0
706,SCE,PNW,35,0.0
707,SCE,PNW,36,0.0
708,SCE,PNW,37,0.0
709,SCE,PNW,38,0.0
710,SCE,PNW,39,0.0
711,SCE,PNW,40,0.0
712,SCE,PNW,41,0.0
713,SCE,PNW,42,0.0
714,SCE,PNW,43,0.0
715,SCE,PNW,44,0.0
716,SCE,PNW,45,0.0
717,SCE,PNW,46,0.0
718,SCE,PNW,47,0.0
719,SCE,PNW,48,0.0
